STORE NAME,Executive Name,AREA,PHONE 1,PHONE 2,ADDRESS,CONTACT,MOBILE NUMBERS,WHATSAPP LINK,CALL SUMMARY,,,,,,,,,
Save sight centre,Naman,ADARSH NAGAR,9210914391,,"A-14, GT Karnal road, Adarsh Nagar new Delhi-110033",9210914391,9210914391,https://api.whatsapp.com/send?phone=+919210914391,mail to admin done waiting for reply,,,,,,,,,
Dr. K.L. Sethi eye care,naman,ADARSH NAGAR,9988656453,," C-5, aryasamaj road, Adarsh Nagar new Delhi-110033",9988656453,9988656453,https://api.whatsapp.com/send?phone=+919988656453,,,,,,,,,,
Eye care centre,Naman,ADARSH NAGAR,9999666002,,"C-5 ,Shop no.-3 Arya samaj road, Adarsh Nagar, New Delhi-110033",9999666002,9999666002,https://api.whatsapp.com/send?phone=+919999666002,,,,,,,,,,
G.K opticals,,ADARSH NAGAR,9999139130,,"Shop no B-34, Tent market, Adarsh Nagar, new Delhi-110033",9999139130,9999139130,https://api.whatsapp.com/send?phone=+919999139130,,,,,,,,,,
Aman optics,,ADARSH NAGAR,9891110907,,"A-13, GT Karnal road, Adarsh Nagar, New Delhi-110033",9891110907,9891110907,https://api.whatsapp.com/send?phone=+919891110907,,,,,,,,,,
Insight optics,Sahil,ADARSH NAGAR,9811090020,,"Shop no-6,B-1,B block Adarsh Nagar, Delhi-110033",9811090020,9811090020,https://api.whatsapp.com/send?phone=+919811090020,,,,,,,,,,
sumit eye care,,ADARSH NAGAR,,,,,,,,,,,,,,,,
Akas Optical Shop,sahil,ADARSH NAGAR,098129 98911,,"B-970, Block H 3, Jahangirpuri, Delhi, 110033",98129 98911,9812998911,https://api.whatsapp.com/send?phone=+919812998911,wrong number,,,,,,,,,
Krishna opticals,sahil,ADARSH NAGAR,9313988099,,"A-29, gali no -22 Mahindra park Thakawala road Mahindra park, Delhi 110033",9313988099,9313988099,https://api.whatsapp.com/send?phone=+919313988099,wrong number,,,,,,,,,
Nitin Optical Shop,sahil,ADARSH NAGAR,092185 94894,,"G-1026, Jahangirpuri, Delhi, 110033",92185 94894,9218594894,https://api.whatsapp.com/send?phone=+919218594894,wrong number,,,,,,,,,
